Team,Season,OPS_plus,TB,WAR,WL_Pct,RS,RD
Baltimore Orioles,2024,115,2424,31.8,0.562,786,87
Boston Red Sox,2024,108,2357,26.8,0.5,751,4
Chicago Cubs,2024,100,2139,24.0,0.512,736,67
Chicago White Sox,2024,76,1830,-6.7,0.253,507,-306
Cincinnati Reds,2024,88,2067,4.5,0.475,699,5
Cleveland Guardians,2024,99,2099,20.9,0.571,708,87
Colorado Rockies,2024,87,2183,10.7,0.377,682,-247
Detroit Tigers,2024,92,2097,16.2,0.531,682,40
Houston Astros,2024,110,2314,26.3,0.547,740,91
Kansas City Royals,2024,101,2187,20.3,0.531,735,91
Los Angeles Angels,2024,89,1979,11.6,0.389,635,-162
Los Angeles Dodgers,2024,120,2465,39.6,0.605,842,156
Miami Marlins,2024,87,2086,2.0,0.383,637,-204
Milwaukee Brewers,2024,102,2205,26.0,0.574,777,136
Minnesota Twins,2024,103,2256,17.0,0.506,742,7
New York Mets,2024,108,2287,24.4,0.549,768,71
New York Yankees,2024,115,2336,30.4,0.58,815,147
Oakland Athletics,2024,101,2133,13.1,0.426,643,-121
Philadelphia Phillies,2024,106,2350,28.8,0.586,784,113
Pittsburgh Pirates,2024,87,2033,9.6,0.469,665,-74
San Diego Padres,2024,107,2321,21.3,0.574,760,91
San Francisco Giants,2024,100,2160,19.0,0.494,693,-6
Seattle Mariners,2024,102,2004,25.6,0.525,676,69
St. Louis Cardinals,2024,97,2157,16.4,0.512,672,-47
Tampa Bay Rays,2024,92,1973,15.0,0.494,604,-59
Texas Rangers,2024,100,2080,20.7,0.481,683,-55
Toronto Blue Jays,2024,98,2106,27.7,0.457,671,-72
Washington Nationals,2024,93,2014,13.7,0.438,660,-104
Arizona Diamondbacks,2025,108,2372,23.5,0.494,791,6
Atlanta Braves,2025,102,2200,23.9,0.469,724,-10
Baltimore Orioles,2025,96,2135,13.7,0.463,677,-111
Boston Red Sox,2025,106,2344,30.2,0.549,786,110
Chicago Cubs,2025,116,2365,39.4,0.568,793,144
Chicago White Sox,2025,88,2008,8.7,0.37,647,-95
Cincinnati Reds,2025,90,2130,8.2,0.512,716,35
Cleveland Guardians,2025,85,1982,9.1,0.543,643,-6
Colorado Rockies,2025,80,2088,-5.2,0.265,597,-424
Detroit Tigers,2025,101,2256,19.5,0.537,758,67
Houston Astros,2025,97,2189,19.0,0.537,686,21
Kansas City Royals,2025,96,2155,16.1,0.506,651,14
Los Angeles Angels,2025,91,2133,8.2,0.444,673,-164
Los Angeles Dodgers,2025,114,2415,31.9,0.574,825,142
Miami Marlins,2025,95,2180,17.6,0.488,709,-89
Milwaukee Brewers,2025,105,2222,26.9,0.599,806,172
Minnesota Twins,2025,94,2157,10.7,0.432,678,-95
New York Mets,2025,113,2331,29.8,0.512,766,51
New York Yankees,2025,118,2488,32.0,0.58,849,164
Oakland Athletics,2025,106,2388,21.0,0.469,733,-84
Philadelphia Phillies,2025,106,2378,23.3,0.593,778,130
Pittsburgh Pirates,2025,82,1882,8.5,0.438,583,-62
San Diego Padres,2025,96,2115,16.8,0.556,702,81
San Francisco Giants,2025,99,2075,17.9,0.5,705,21
Seattle Mariners,2025,113,2311,29.3,0.556,766,72
St. Louis Cardinals,2025,96,2057,16.4,0.481,689,-65
Tampa Bay Rays,2025,99,2194,21.7,0.475,714,31
Texas Rangers,2025,100,2075,29.0,0.5,684,79
Toronto Blue Jays,2025,108,2354,30.8,0.58,798,77
Washington Nationals,2025,96,2110,12.4,0.407,687,-212
